"Country","Age","Gender","Kids","Edu","Work.Status","Annual.Income","Occupation","TenureYears","TenureMonths","CommSize","MaritalStat","Sons","Daughters","Iwastealotoft","EvenafterImak","Idonâtmakedec","Idelaymakingd","Iputoffmaking","Ipaymybillson","Iampromptando","Ilayoutmyclot","Ifindmyselfru","Idonâtgetthin","Ifsomeonewere","Myfriendsandf","Igetimportant","Iamnotverygoo","0Ifindmyselfr","1Ischeduledoc","2Iammorepunct","3Idoroutinema","4WhenIhavetob","5Puttingthing","Ioftenfindmys","Ioftenmisscon","Whenplanninga","Whenitistimet","Alettermaysit","Igenerallyret","Evenjobsthatr","Iusuallymaked","Igenerallydel","0Whentravelin","1Whenpreparin","2Inpreparatio","3Ifabillforas","4Iusuallyretu","5Ioftenhaveat","6Ialwaysseemt","7Iusuallybuye","8Iusuallyacco","9Iamcontinual","0Iusuallytake","Inmostwaysmyl","Theconditions","Iamsatisfiedw","SofarIhavegot","IfIcouldlivem","YouConsider","OtheConsider","DPMean","AIPMean","GPMean","SWLSPMean","2016_Est_HDI","HDI_Category"
"Andorra",80,"Male","No Kids","ma","retired",45000,"retired",17,0,"Medium-Sized","Single",2,0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1.5,2,4,0.858,"Very High"
"Argentina",45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Married",NA,2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,3,3.6,0.827,"Very High"
"Argentina",67.5,"Male","Yes Kids","","part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Married",4,0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,2.7,2.6,3.4,0.827,"Very High"
"Argentina",32.5,"Female","No Kids","deg","full-time",67500,NA,3,0,"Large-City","Single",2,0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.9,2.4,3.6,0.827,"Very High"
"Argentina",16.5,"Female","No Kids","lthigh","student",10000,"",1,0,"Small Town","Single",2,0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no",1.8,2.9,3.2,3.4,0.827,"Very High"
"Australia",37.5,"Female","No Kids","deg","student",15000,NA,2,0,"Medium-Sized","Single",2,0,3,4,3,3,3,1,1,3,2,3,1,3,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,3,4,3,2,3,3,3,4,3,4,5,3,"yes","yes",3.2,2.5,3,3.8,0.939,"Very High"
"Australia",37.5,"Male","No Kids","deg","student",10000,NA,2,0,"Large-City","Single",2,0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,"yes","yes",5,4.7,4,1.8,0.939,"Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",87500,NA,13,0,"Small City","Married",NA,2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.2,3.8,0.939,"Very High"
"Australia",24,"Female","Yes Kids","high","part-time",25000,"Customer Service",6,2,"Large-City","Single",NA,0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,"yes","yes",3,2.8,3.6,4.2,0.939,"Very High"
"Australia",32.5,"Male","Yes Kids","phd","full-time",67500,"IT Support",3,0,"Large-City","Married",NA,1,5,3,4,4,5,4,2,3,3,4,1,3,3,4,5,3,2,3,1,5,4,3,2,2,2,2,4,2,4,2,4,5,3,4,5,4,4,5,4,4,3,3,2,4,5,"yes","no",4.2,3.1,3.5,3.4,0.939,"Very High"
"Australia",45,"Female","Yes Kids","ltuni","",NA,NA,0,0,"Small City","Married",NA,1,5,4,3,3,3,1,1,4,3,3,1,3,2,3,3,3,2,4,2,1,3,1,4,2,4,3,3,4,4,4,4,2,2,4,4,4,4,3,1,4,4,4,3,3,2,"no","yes",3.6,2.4,3.2,3.2,0.939,"Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",150000,"engineer",10,0,"Large-City","Divorced",NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,4,2,3,4,3,3,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,3,3,2,"yes","yes",4,3.6,3.6,2.8,0.939,"Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married",NA,3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.3,3.8,3.6,0.939,"Very High"
"Australia",23,"Male","No Kids","deg","student",10000,NA,0,0,"Small Town","Single",2,0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",3.8,3.7,2.9,1.8,0.939,"Very High"
"Australia",37.5,"Male","Yes Kids","deg","full-time",55000,NA,7,6,"Large-City","Married",NA,1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2,2.1,2.1,2.4,0.939,"Very High"
"Australia",37.5,"Male","Yes Kids","deg","full-time",150000,"engineer",9,0,"Large-City","Married",NA,1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",5,3.3,3.5,2,0.939,"Very High"
"Australia",45,"Female","No Kids","phd","full-time",150000,NA,1,0,"Large-City","Married",2,0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no",3,2.5,2.7,3.2,0.939,"Very High"
"Australia",28,"Male","No Kids","deg","full-time",67500,"Market Analyst",1,6,"Large-City","Single",2,0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",4,3.2,3.8,2.2,0.939,"Very High"
"Australia",32.5,"Female","No Kids","ma","full-time",45000,NA,6,0,"Large-City","Single",2,0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",1.8,1.7,2.1,2.8,0.939,"Very High"
"Australia",22,"Female","No Kids","deg","full-time",25000,"Administration Assistant",0,5,"Large-City","Single",2,0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3.6,3.3,3,2.2,0.939,"Very High"
"Australia",28,"Female","No Kids","deg","part-time",67500,"Market Analyst",2,0,"Large Town","Single",2,0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,"yes","yes",2.2,3.9,4,3.8,0.939,"Very High"
"Australia",37.5,"Male","No Kids","high","full-time",150000,"",6,3,"Village","Single",2,0,2,3,2,2,2,1,1,2,2,3,2,1,1,2,2,2,1,3,1,2,2,2,2,2,2,2,2,3,2,1,1,2,1,1,1,3,2,2,2,2,2,3,3,3,1,"no","no",2.2,1.7,1.8,2.4,0.939,"Very High"
"Australia",28,"Male","No Kids","deg","student",15000,"",0,3,"Small Town","Married",2,0,3,3,3,2,2,2,3,4,3,4,5,5,4,3,3,3,3,3,3,3,3,1,2,5,3,3,3,3,4,3,3,3,3,3,4,2,2,3,3,4,3,4,4,3,3,"yes","yes",2.6,3.4,3,3.4,0.939,"Very High"
"Australia",19,"Male","No Kids","ltuni","student",15000,"",2,4,"Village","Single",2,0,4,3,4,3,3,1,1,2,3,2,4,5,4,3,4,3,3,4,4,5,4,3,4,5,2,2,4,4,4,2,4,4,1,4,4,4,4,5,5,5,4,4,4,3,2,"yes","yes",3.4,3.2,3.7,3.4,0.939,"Very High"
"Australia",45,"Female","Yes Kids","deg","full-time",87500,"",4,0,"Village","Married",4,1,1,1,1,1,1,3,1,1,1,1,5,1,2,1,1,1,1,3,1,3,2,1,1,1,1,3,2,1,2,1,5,2,3,4,2,2,1,2,1,2,1,1,1,1,1,"no","yes",1,1.7,2,1,0.939,"Very High"
"Australia",22,"Male","No Kids","ltuni","student",10000,"",2,0,"Village","Single",2,0,2,5,3,3,4,4,4,5,1,5,4,5,4,5,5,4,3,5,4,4,4,5,2,5,4,1,5,5,5,5,4,4,4,4,5,1,1,5,5,4,2,4,3,3,2,"yes","yes",3.4,4.1,3.9,2.8,0.939,"Very High"
"Australia",28,"Male","No Kids","ltuni","part-time",15000,"",0,6,"Village","Single",2,0,5,5,5,5,5,5,3,3,4,5,5,4,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,3,2,1,5,4,5,5,5,5,5,5,5,1,1,1,3,1,"yes","yes",5,4.5,4.3,1.4,0.939,"Very High"
"Australia",28,"Male","No Kids","deg","full-time",35000,"",2,0,"Village","Single",2,0,5,5,5,5,5,3,3,5,1,1,3,4,5,5,5,4,4,5,2,5,5,4,5,3,5,3,5,4,4,2,1,5,5,5,5,5,5,5,4,5,1,3,3,4,1,"yes","yes",5,3.7,4.2,2.4,0.939,"Very High"
"Australia",28,"Male","No Kids","deg","full-time",45000,"",2,0,"Village","Separated",2,0,4,5,5,5,5,1,1,4,2,5,5,5,4,2,5,4,3,3,3,5,5,5,4,4,5,4,4,4,5,5,3,5,3,3,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.8,3.5,4.5,1,0.939,"Very High"
"Australia",28,"Male","No Kids","deg","student",10000,"",0,0,"Village","Single",2,0,5,5,3,2,1,1,1,2,1,5,5,5,5,5,5,4,1,4,1,5,5,1,4,1,1,4,5,2,5,1,2,5,1,5,5,5,1,5,5,5,3,2,2,3,1,"yes","yes",3.2,3.3,3.4,2.2,0.939,"Very High"
"Australia",45,"Male","No Kids","ltuni","full-time",67500,"Internet & media consultant",8,0,"Large-City","Married",2,0,3,3,2,3,3,1,1,4,2,2,1,2,3,2,4,1,1,2,1,3,3,2,3,2,1,3,3,3,3,2,2,3,2,3,3,5,5,3,3,2,2,3,3,1,4,"no","no",2.8,2,2.8,2.6,0.939,"Very High"
"Australia",25,"Male","No Kids","deg","student",10000,NA,0,0,"Large-City","Single",2,0,2,1,1,1,1,1,1,5,4,4,2,5,4,5,5,1,1,1,1,1,1,1,3,2,1,4,4,1,4,5,4,5,1,1,4,4,1,2,5,5,3,4,2,4,2,"yes","yes",1.2,2.7,2.9,3,0.939,"Very High"
"Australia",32.5,"Female","Yes Kids","dip","part-time",55000,"Business Owner",5,0,"Large-City","Separated",2,1,3,2,4,2,2,3,1,3,1,3,4,3,4,3,3,2,1,3,1,4,3,1,2,1,4,3,5,3,4,1,1,4,3,2,3,5,5,3,3,3,2,2,2,2,2,"yes","yes",2.6,2.6,3,2,0.939,"Very High"
"Australia",32.5,"Male","No Kids","ma","full-time",55000,"Information Technology Consultant",3,0,"Small City","Married",2,0,4,4,5,5,5,1,1,5,2,5,3,5,5,5,5,3,1,2,1,2,4,3,2,2,4,3,5,5,5,4,2,5,1,3,4,5,4,5,5,4,2,5,3,3,4,"yes","yes",4.6,3.1,3.8,3.4,0.939,"Very High"
"Australia",24,"Male","No Kids","ltuni","student",10000,NA,0,0,"Large Town","Single",2,0,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.5,5,1,0.939,"Very High"
"Australia",21,"Female","No Kids","deg","student",10000,NA,4,6,"Large-City","Single",2,0,5,5,4,4,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,5,2,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,1,1,1,1,1,"yes","yes",4.6,4.8,4.8,1,0.939,"Very High"
"Australia",22,"Female","No Kids","high","full-time",25000,"Housekeeping",0,6,"Large-City","Single",2,0,3,1,5,2,3,1,1,5,1,2,1,5,2,1,1,5,1,5,1,5,5,3,2,2,4,1,5,4,5,2,4,4,1,2,4,5,5,4,5,5,4,4,4,3,3,"yes","no",2.8,2.5,3.6,3.6,0.939,"Very High"
"Australia",20,"Male","No Kids","ltuni","student",10000,"Web Communications",3,3,"Medium-Sized","Single",2,0,4,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,5,5,2,4,4,4,3,2,4,3,2,4,3,4,4,4,3,1,2,1,1,1,"yes","yes",4,3.6,3.5,1.2,0.939,"Very High"
"Australia",37.5,"Male","No Kids","deg","full-time",67500,"Medical Practitioner",17,0,"Large-City","Single",2,0,4,4,5,4,4,3,2,5,4,4,3,4,4,4,4,4,4,4,3,4,4,3,5,4,3,3,4,5,4,4,4,4,3,4,4,5,5,3,5,4,1,1,1,2,2,"yes","yes",4.2,3.7,4,1.4,0.939,"Very High"
"Australia",24,"Male","No Kids","ma","student",10000,NA,0,3,"Large-City","Single",2,0,4,4,2,2,2,3,1,3,2,2,5,2,3,2,3,1,1,4,1,2,4,1,2,2,2,2,3,3,3,1,3,4,2,2,5,2,3,5,5,2,4,4,4,3,3,"yes","no",2.8,2.3,2.8,3.6,0.939,"Very High"
"Australia",32.5,"Female","Yes Kids","ma","full-time",67500," veterinarian",7,0,"Small City","Married",NA,0,4,5,3,3,3,2,2,5,2,2,1,5,3,1,5,3,2,5,2,5,5,1,3,3,4,3,5,3,5,2,1,5,4,3,5,5,4,5,5,5,4,4,4,4,5,"yes","yes",3.6,3,3.8,4.2,0.939,"Very High"
"Australia",28,"Female","No Kids","ma","full-time",150000,"Management Consultant & Entrepreneur",1,0,"Large-City","Married",2,0,3,2,1,1,1,1,1,3,3,1,1,2,3,1,3,4,2,4,2,3,4,1,1,3,1,4,3,1,3,1,2,3,2,2,4,2,1,4,3,4,5,5,3,5,5,"yes","no",1.6,2.3,2.5,4.6,0.939,"Very High"
"Australia",45,"Male","Yes Kids","deg","full-time",55000,"Technical officer",1,9,"Large-City","Married",NA,0,3,3,3,1,1,1,1,2,3,2,1,1,3,1,2,1,3,2,2,2,2,2,4,1,1,1,1,2,4,1,3,2,1,3,3,3,3,3,1,2,3,4,4,4,3,"yes","no",2.2,1.8,2.1,3.6,0.939,"Very High"
"Australia",32.5,"Male","No Kids","ltuni","full-time",45000,"Service co-ordinator",0,7,"Large-City","Single",2,0,4,4,4,3,3,4,5,3,5,3,4,5,4,3,4,4,5,4,4,4,5,4,4,5,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,1,1,2,1,3,"yes","yes",3.6,4.1,4.1,1.6,0.939,"Very High"
"Australia",45,"Male","Yes Kids","ma","full-time",87500,"",0,0,"Village","Separated",NA,1,2,4,3,3,3,3,2,5,1,4,3,1,2,2,2,3,3,4,1,4,4,4,5,5,5,3,5,3,5,1,5,4,4,5,4,2,4,5,5,5,1,2,3,2,3,"yes","yes",3,2.7,4.2,2.2,0.939,"Very High"
"Australia",55,"Male","No Kids","lthigh","unemployed",15000,"",6,6,"Rural/Country","Divorced",2,0,3,3,2,3,3,1,1,1,2,3,2,2,3,3,3,1,1,2,1,3,4,2,2,3,2,2,4,3,4,1,2,4,1,1,3,2,3,4,3,4,2,1,1,1,1,"no","",2.8,1.9,2.7,1.2,0.939,"Very High"
"Australia",16.5,"Female","No Kids","high","student",10000,"",0,0,"Village","",2,0,3,4,4,1,1,1,4,3,5,5,4,5,5,5,5,3,5,5,5,3,5,2,2,5,5,1,5,3,5,5,5,5,3,5,5,5,4,5,5,4,1,1,1,4,3,"yes","yes",2.6,4.2,4.2,2,0.939,"Very High"
"Australia",28,"Female","No Kids","deg","full-time",55000,"",1,4,"8","",2,0,2,2,3,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,2,4,3,3,2,2,3,3,3,2,3,3,4,3,4,2,"yes","no",2.2,2.1,2.6,3.2,0.939,"Very High"
"Australia",45,"Female","No Kids","deg","full-time",35000,"",0,9,"Medium-Sized","Single",2,0,5,3,3,3,3,1,1,5,2,2,4,2,2,2,3,2,2,1,1,1,5,4,1,2,2,3,3,3,3,3,2,3,5,4,3,4,2,5,5,5,1,3,1,2,2,"yes","yes",3.4,2.1,3.4,1.8,0.939,"Very High"
"Australia",45,"Female","No Kids","ma","full-time",67500,"",2,0,"Village","Married",2,0,3,3,3,3,3,3,1,2,1,2,1,1,3,1,2,2,2,3,1,2,3,3,3,3,4,2,2,3,4,1,2,4,3,3,2,4,3,4,4,4,2,3,3,2,2,"yes","no",3,1.8,3,2.4,0.939,"Very High"
"Australia",23,"Female","No Kids","ltuni","student",10000,"",NA,0,"Village","Single",2,0,5,5,5,5,5,1,2,2,5,5,5,5,5,5,5,5,5,5,1,5,4,3,3,5,5,5,5,5,5,5,5,5,2,4,5,4,5,5,5,5,1,1,1,1,1,"yes","yes",5,4.1,4.5,1,0.939,"Very High"
"Australia",45,"Female","Yes Kids","deg","full-time",55000,"",6,0,"Medium-Sized","Divorced",NA,2,3,3,2,2,2,1,1,1,3,2,1,3,2,2,3,2,1,2,2,2,4,4,1,1,2,1,4,3,4,2,3,3,2,3,2,3,4,4,2,2,1,3,2,2,2,"yes","no",2.4,1.9,2.7,2,0.939,"Very High"
"Australia",16.5,"Female","No Kids","deg","unemployed",NA,"",0,4,"Rural/Country","Single",2,0,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,2,2,2,5,4,2,4,4,4,4,4,2,3,4,4,1,4,3,4,4,"yes","yes",4,3.8,3.3,3.2,0.939,"Very High"
"Australia",16.5,"Male","No Kids","lthigh","student",10000,"",10,5,"Village","Single",2,0,4,5,2,3,3,1,1,3,4,2,4,2,4,2,4,1,2,3,2,2,4,1,4,5,1,1,2,2,4,2,2,4,4,4,4,3,2,5,4,3,3,3,4,5,2,"yes","no",3.4,2.5,3,3.4,0.939,"Very High"
"Australia",32.5,"Male","No Kids","ma","full-time",35000,"",1,0,"Village","Single",2,0,5,5,5,5,5,1,3,3,3,3,3,5,5,4,5,5,3,3,3,5,5,5,3,5,5,1,5,5,5,3,5,5,3,3,1,3,3,5,5,5,1,1,1,1,1,"yes","yes",5,3.6,4,1,0.939,"Very High"
"Australia",19,"Female","No Kids","high","student",10000,"",0,5,"Large Town","Single",2,0,4,3,2,1,1,1,1,3,1,1,1,1,5,1,1,4,2,4,1,1,1,1,2,3,2,2,1,3,3,2,4,1,2,2,2,2,2,3,1,2,4,4,4,3,4,"no","no",2.2,1.9,2,3.8,0.939,"Very High"
"Australia",28,"Female","No Kids","deg","full-time",67500,"",3,0,"Village","Married",2,0,3,3,4,4,4,4,4,4,4,4,5,5,4,1,4,5,5,4,4,4,4,3,4,5,3,4,4,4,4,4,4,3,4,5,5,5,5,4,4,4,2,3,3,4,3,"yes","yes",3.6,4.1,4.1,3,0.939,"Very High"
"Australia",55,"Male","Yes Kids","ma","full-time",35000,"",3,5,"","Married",2,2,4,4,4,4,4,2,1,3,2,3,3,3,4,3,3,4,2,4,1,2,4,3,4,4,4,2,4,4,4,2,2,4,3,4,3,5,4,4,3,5,4,5,4,5,4,"yes","yes",4,2.7,3.6,4.4,0.939,"Very High"
"Australia",55,"Female","Yes Kids","ma","student",15000,"",2,2,"Medium-Sized","Married",2,2,3,2,2,1,1,1,1,3,3,2,1,1,3,1,2,3,3,2,1,1,2,1,2,2,2,2,1,2,2,2,3,2,2,3,3,2,2,4,1,2,4,3,5,5,3,"yes","no",1.8,1.9,2.1,4,0.939,"Very High"
"Australia",32.5,"Female","Yes Kids","phd","student",45000,"",4,6,"Village","Married",2,1,3,3,5,5,5,3,1,3,2,5,4,3,5,4,5,3,3,3,1,4,4,3,1,2,3,1,5,5,5,1,3,5,3,3,5,1,1,5,4,5,3,2,2,3,2,"yes","no",4.2,3.3,3.2,2.4,0.939,"Very High"
"Australia",20,"Female","No Kids","ltuni","student",10000,"",2,0,"Village","Single",2,0,1,3,2,2,2,2,2,1,3,1,1,1,4,1,2,2,2,5,2,5,3,1,2,5,5,2,5,2,5,1,3,5,2,2,2,5,5,5,3,4,5,4,5,5,5,"yes","no",2,2.3,3.4,4.8,0.939,"Very High"
"Australia",55,"Female","No Kids","deg","full-time",15000,"",6,0,"Village","Single",2,0,3,1,2,2,1,2,1,2,1,2,3,3,2,1,3,3,1,4,1,2,3,1,1,1,3,1,3,2,3,1,2,3,2,3,3,2,2,3,3,2,5,5,5,5,5,"no","no",1.8,2.1,2.2,5,0.939,"Very High"
"Australia",55,"Female","Yes Kids","dip","full-time",87500,"",14,0,"Village","Single",4,1,3,2,3,2,2,1,1,4,2,2,1,1,3,1,3,4,3,4,2,2,3,4,2,4,3,3,3,3,3,2,4,3,3,2,3,4,4,4,3,2,3,3,3,4,4,"yes","no",2.4,2.3,3.1,3.4,0.939,"Very High"
"Australia",45,"Male","No Kids","ltuni","full-time",67500,"",0,0,"Village","Married",2,0,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,2,2,3,3,2,2,3,2,2,2,2,1,4,2,1,3,3,3,3,2,3,2,4,5,5,5,5,"yes","no",1.6,1.5,2.4,4.8,0.939,"Very High"
"Australia",32.5,"Female","Yes Kids","dip","part-time",45000,"",10,0,"Large Town","Married",NA,1,4,4,4,3,3,4,3,5,4,3,2,5,3,4,4,4,4,4,3,3,3,4,5,4,5,3,2,4,3,4,4,4,4,4,4,4,4,3,3,3,3,2,3,3,3,"yes","yes",3.6,3.7,3.7,2.8,0.939,"Very High"
"Australia",24,"Female","No Kids","deg","full-time",45000,"",3,0,"Small Town","Single",2,0,3,4,4,4,4,1,2,4,3,3,2,4,2,1,2,3,2,5,1,2,3,4,3,2,5,2,3,4,4,4,4,4,1,4,2,5,4,3,4,4,2,2,2,2,2,"yes","yes",3.8,2.5,3.5,2,0.939,"Very High"
